bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
jacksondatabind_21,9,0,0,0,0,12,0,4,9,5,0,3,3,0,9
jacksondatabind_22,6,1,1,2,0,21,0,7,3,9,0,0,6,0,20
jacksondatabind_23,7,0,0,1,0,12,0,11,8,5,0,1,0,0,13
jacksondatabind_25,14,0,1,1,0,22,0,16,4,6,0,0,7,0,12
jacksondatabind_29,6,2,0,0,0,8,0,3,4,5,0,0,2,0,9
jacksondatabind_3,7,1,1,1,0,7,0,0,5,5,0,0,1,0,7
jacksondatabind_30,2,0,0,0,0,14,0,8,2,6,0,0,0,0,10
jacksondatabind_31,4,0,0,0,0,18,0,10,10,6,0,0,6,0,17
jacksondatabind_32,6,0,0,4,0,12,0,4,11,6,0,0,1,0,9
jacksondatabind_36,2,0,0,0,0,4,0,0,3,4,0,0,0,0,6
jacksondatabind_38,5,0,0,3,0,15,0,5,9,7,0,0,5,0,15
jacksondatabind_4,12,0,0,0,0,10,0,3,14,6,0,1,0,0,13
jacksondatabind_41,1,0,0,0,0,6,0,0,2,6,0,0,4,0,6
jacksondatabind_43,3,0,0,1,0,14,0,2,10,7,0,1,1,0,10
jacksondatabind_48,3,0,0,0,0,23,0,13,9,6,0,0,12,0,9
jacksondatabind_50,5,0,0,0,0,13,0,4,6,5,0,1,0,0,15
jacksondatabind_52,3,0,0,0,0,11,0,4,2,6,0,0,0,0,10
jacksondatabind_53,19,0,1,0,0,29,0,32,5,12,0,1,10,0,25
jacksondatabind_54,10,1,1,0,0,6,0,3,6,5,0,0,1,0,9
jacksondatabind_55,3,0,0,0,0,13,0,6,8,10,0,0,0,0,10
jacksondatabind_56,2,0,0,0,0,5,0,0,2,5,0,0,1,0,7
jacksondatabind_59,22,2,1,1,0,20,0,12,6,5,0,0,0,0,9
jacksondatabind_6,9,1,2,0,0,8,0,4,4,8,0,0,1,0,13
jacksondatabind_60,15,0,0,0,0,15,0,4,9,7,0,0,1,0,10
jacksondatabind_61,5,0,0,0,0,11,0,4,4,5,0,1,1,0,8
jacksondatabind_65,1,0,0,0,0,7,0,0,3,4,0,0,1,0,7
jacksondatabind_66,10,0,1,4,0,33,0,18,12,8,0,1,1,0,12
jacksondatabind_68,12,2,0,4,0,43,0,26,19,13,0,4,6,0,20
jacksondatabind_69,4,0,0,0,0,12,0,0,6,5,0,0,0,0,8
jacksondatabind_72,9,0,0,0,0,15,0,9,2,5,0,2,5,0,10
jacksondatabind_73,5,0,0,0,0,10,0,4,2,10,0,2,0,0,8
jacksondatabind_75,17,1,2,1,0,8,0,6,5,7,0,0,3,0,12
